data,codigo_ibge,latitude,longitude,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
20030101,4100103,-23.3049,-50.3133,12.71,26.83,21.08,23.77,33.15,20.43,26.46,16.72,75.5,1.87,94.14,0.79,1.24,0.45,0.8,1.87,2.48,0.75,1.73,3.47,5.07,0.97,4.09,0.65,0.64,0.68,23.5,30.53,42.75,129.63,165.1,17.95,0.57,2.99
20030102,4100103,-23.3049,-50.3133,8.32,25.83,22.34,24.15,29.98,21.65,25.98,18.13,81.75,11.24,94.03,0.79,1.54,0.27,1.27,1.71,2.91,0.39,2.52,3.05,5.14,0.62,4.53,0.72,0.65,0.68,18.79,29.75,42.74,104.59,160.21,14.59,0.47,2.46
20030103,4100103,-23.3049,-50.3133,6.22,23.68,21.3,22.49,27.04,20.82,23.69,16.91,87.0,16.15,94.03,1.14,1.98,0.42,1.56,2.29,3.73,0.87,2.86,3.66,5.35,1.31,4.04,0.75,0.66,0.68,15.68,29.39,42.72,88.91,157.65,12.41,0.41,2.11
20030104,4100103,-23.3049,-50.3133,5.24,23.37,21.51,22.42,25.91,20.67,23.33,17.15,89.88,11.81,93.9,0.91,2.07,0.35,1.72,1.93,3.97,0.98,2.99,3.34,5.45,1.98,3.46,0.77,0.69,0.7,13.71,28.99,42.69,78.73,155.84,11.04,0.34,1.79
20030105,4100103,-23.3049,-50.3133,8.83,24.48,21.58,22.94,29.21,20.38,24.29,17.27,86.12,4.3,93.8,1.06,1.77,0.44,1.33,2.22,3.42,1.3,2.12,3.76,4.65,2.98,1.67,0.73,0.7,0.7,15.15,29.28,42.66,85.01,155.69,11.8,0.37,1.91
20030106,4100103,-23.3049,-50.3133,10.5,25.65,20.83,23.15,31.59,21.09,25.47,16.48,78.31,0.57,93.98,0.96,1.7,0.43,1.27,2.12,3.27,1.24,2.02,3.93,5.98,1.67,4.31,0.7,0.68,0.7,19.62,30.82,42.64,105.89,160.05,14.43,0.46,2.38
20030107,4100103,-23.3049,-50.3133,12.34,25.91,19.4,22.61,32.38,20.04,25.82,15.01,71.19,0.01,94.2,0.78,1.44,0.25,1.19,1.62,2.65,0.48,2.17,2.77,5.72,0.26,5.46,0.68,0.66,0.69,29.96,31.3,42.61,158.97,164.38,21.12,0.66,3.51
20030108,4100103,-23.3049,-50.3133,13.21,25.13,18.48,21.97,31.85,18.64,25.46,14.16,68.0,0.0,94.38,1.24,2.44,0.26,2.18,2.44,4.55,0.45,4.09,3.84,6.2,0.6,5.6,0.66,0.66,0.68,31.14,31.54,42.58,165.21,166.09,21.84,0.66,3.52
20030109,4100103,-23.3049,-50.3133,14.15,26.16,19.65,22.9,32.98,18.83,26.15,15.26,70.31,0.17,94.43,0.84,1.37,0.54,0.84,1.76,2.66,1.09,1.56,2.97,5.48,1.65,3.84,0.65,0.64,0.67,30.78,31.43,42.55,164.26,166.45,21.71,0.66,3.57
20030110,4100103,-23.3049,-50.3133,5.95,25.31,22.87,24.33,29.02,23.07,25.78,18.62,84.44,14.81,94.37,0.78,1.31,0.29,1.02,1.61,2.44,0.45,1.98,2.62,3.35,0.7,2.65,0.73,0.65,0.67,12.79,30.51,42.52,71.68,163.82,9.99,0.32,1.67
